Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2024-05-25,20:30:00,SALISBURY,Warranty,1m6f,1,1.83,1.93,0.28487593
2024-05-25,20:30:00,SALISBURY,Clan Chieftain,1m6f,2,3.75,4.43,0.5804948
2024-05-25,20:30:00,SALISBURY,Masterdream,1m6f,5,9.5,11.39,0.26216453
2024-05-25,20:30:00,SALISBURY,Its All About You,1m6f,4,11.0,15.71,0.2238164
2024-05-25,20:30:00,SALISBURY,Vin Rouge,1m6f,3,15.0,17.0,0.26516783
2024-05-25,20:30:00,SALISBURY,Eagle Court,1m6f,7,21.0,27.0,0.10050577
2024-05-25,20:30:00,SALISBURY,Petrastar,1m6f,8,67.0,97.79,0.006730243
2024-05-25,20:30:00,SALISBURY,Astroman,1m6f,6,67.0,119.03,0.015059877
2024-05-16,14:00:00,SALISBURY,Beau Jardine,6f,1,2.1,2.14,0.12194965
2024-05-16,14:00:00,SALISBURY,Willingly,6f,2,6.0,8.28,0.5281406
2024-05-16,14:00:00,SALISBURY,Big Bard,6f,3,6.5,7.42,0.53876084
2024-05-16,14:00:00,SALISBURY,San Francisco Bay,6f,4,9.0,10.34,0.3308659
2024-05-16,14:00:00,SALISBURY,Royal Bliss,6f,6,10.0,11.0,0.18532157
2024-05-16,14:00:00,SALISBURY,Roman Spring,6f,5,13.0,15.58,0.06048437
2024-05-16,14:00:00,SALISBURY,Katar,6f,7,26.0,31.82,0.016681848
2024-05-16,14:30:00,SALISBURY,Pawapuri,1m6f,2,4.5,4.9,0.42403996
2024-05-16,14:30:00,SALISBURY,Ellerton,1m6f,4,41.0,55.85,0.0016911108
2024-05-16,14:30:00,SALISBURY,Alright Sunshine,1m6f,8,51.0,40.71,0.0006041186
2024-05-16,14:30:00,SALISBURY,Duke Of Verona,1m6f,5,6.0,6.38,0.27762103
2024-05-16,14:30:00,SALISBURY,Rathgar,1m6f,3,6.0,7.4,0.3679402
2024-05-16,14:30:00,SALISBURY,Circuit Breaker,1m6f,6,8.5,9.72,0.102605425
2024-05-16,14:30:00,SALISBURY,Kyle Of Lochalsh,1m6f,1,8.5,9.76,0.090511985
2024-05-16,14:30:00,SALISBURY,The Goat,1m6f,11,8.5,9.2,0.043699697
2024-05-16,14:30:00,SALISBURY,Torcello,1m6f,9,9.5,13.0,0.010025087
2024-05-16,14:30:00,SALISBURY,Military Tycoon,1m6f,10,21.0,25.9,0.01976095
2024-05-16,14:30:00,SALISBURY,Hurtle Wallop,1m6f,UR,34.0,43.99,0.008018822
2024-05-16,14:30:00,SALISBURY,Ocean Heights,1m6f,7,34.0,39.58,0.0045023616
2024-05-16,15:00:00,SALISBURY,Megalithic,5f,3,2.63,2.8,0.45635033
2024-05-16,15:00:00,SALISBURY,Kassaya,5f,2,3.5,3.68,0.52181304
2024-05-16,15:00:00,SALISBURY,Mythical Composer,5f,6,7.0,8.46,0.44454244
2024-05-16,15:00:00,SALISBURY,Pont Neuf,5f,1,9.0,9.2,0.2454571
2024-05-16,15:00:00,SALISBURY,Blinky,5f,5,9.5,11.0,0.15937845
2024-05-16,15:00:00,SALISBURY,Amerjeet,5f,4,17.0,23.0,0.07892722
2024-05-16,15:30:00,SALISBURY,Miss Stormy Night,6f,4,2.38,2.5,0.79905826
2024-05-16,15:30:00,SALISBURY,Monkey Miss,6f,7,4.5,5.42,0.5217529
2024-05-16,15:30:00,SALISBURY,Dame Darcey,6f,3,5.5,6.61,0.17465125
2024-05-16,15:30:00,SALISBURY,Revenue,6f,2,6.0,7.68,0.16038217
2024-05-16,15:30:00,SALISBURY,Si Si La Bonne,6f,5,21.0,28.76,0.07128303
2024-05-16,15:30:00,SALISBURY,Trois Blancs,6f,6,23.0,23.48,0.017593622
2024-05-16,15:30:00,SALISBURY,Thunderous Love,6f,1,26.0,36.54,0.026293863
2024-05-16,15:30:00,SALISBURY,Dream Of Keda,6f,8,34.0,45.73,0.004617918
2024-05-16,16:00:00,SALISBURY,Signalman,1m2f,5,3.0,3.26,0.21873519
2024-05-16,16:00:00,SALISBURY,Master Builder,1m2f,1,3.5,3.79,0.608264
2024-05-16,16:00:00,SALISBURY,Bye Bye Salam,1m2f,4,7.5,8.4,0.2927906
2024-05-16,16:00:00,SALISBURY,Kingkeer,1m2f,9,8.5,10.61,0.16778888
2024-05-16,16:00:00,SALISBURY,Subsequent,1m2f,2,11.0,11.81,0.14090493
2024-05-16,16:00:00,SALISBURY,Crown Of India,1m2f,3,11.0,13.5,0.062573746
2024-05-16,16:00:00,SALISBURY,Mamdoh,1m2f,7,19.0,23.0,0.03520826
2024-05-16,16:00:00,SALISBURY,Poncho,1m2f,8,26.0,34.59,0.016287023
2024-05-16,16:00:00,SALISBURY,Mr Cliff,1m2f,6,151.0,230.0,0.0013761393
2024-05-16,16:32:00,SALISBURY,Oxford Comma,1m2f,1,4.0,4.81,0.23885612
2024-05-16,16:32:00,SALISBURY,Ghost Story,1m2f,10,101.0,138.17,0.0009405522
2024-05-16,16:32:00,SALISBURY,Faifa,1m2f,4,4.5,5.3,0.5015488
2024-05-16,16:32:00,SALISBURY,Muqinah,1m2f,5,5.0,5.04,0.12407485
2024-05-16,16:32:00,SALISBURY,Balletic,1m2f,7,5.5,6.05,0.33547947
2024-05-16,16:32:00,SALISBURY,Birkin,1m2f,6,8.0,9.6,0.35006273
2024-05-16,16:32:00,SALISBURY,Power Of Destiny,1m2f,3,13.0,14.5,0.24795978
2024-05-16,16:32:00,SALISBURY,Solid Silver,1m2f,8,23.0,30.0,0.026118714
2024-05-16,16:32:00,SALISBURY,Galaxy Princess,1m2f,2,23.0,27.0,0.021131262
2024-05-16,16:32:00,SALISBURY,Tango Sunset,1m2f,9,34.0,50.27,0.0036285196
2024-05-16,17:02:00,SALISBURY,Warmonger,1m4f,4,2.75,2.82,0.34577245
2024-05-16,17:02:00,SALISBURY,East India Dock,1m4f,1,3.5,3.97,0.5314357
2024-05-16,17:02:00,SALISBURY,Aulis,1m4f,3,4.5,5.13,0.48528016
2024-05-16,17:02:00,SALISBURY,Cracker Star,1m4f,2,7.5,8.4,0.12768412
2024-05-16,17:02:00,SALISBURY,War Director,1m4f,5,11.0,12.15,0.20224242
2024-05-05,14:10:00,SALISBURY,Luna Magic,7f,10,4.0,4.54,0.07168448
2024-05-05,14:10:00,SALISBURY,Alyara,7f,12,23.0,30.0,0.043458432
2024-05-05,14:10:00,SALISBURY,Fact Or Fable,7f,9,23.0,28.95,0.104527816
2024-05-05,14:10:00,SALISBURY,King Of The Dance,7f,6,29.0,47.04,0.014634816
2024-05-05,14:10:00,SALISBURY,Iconic Knight,7f,13,51.0,80.0,0.00871117
2024-05-05,14:10:00,SALISBURY,Amaysmont,7f,2,5.5,6.2,0.30754393
2024-05-05,14:10:00,SALISBURY,Beau Jardine,7f,3,7.0,8.7,0.10422717
2024-05-05,14:10:00,SALISBURY,Princess Naomi,7f,8,8.0,10.5,0.04967834
2024-05-05,14:10:00,SALISBURY,King Of Speed,7f,5,9.0,12.5,0.111728676
2024-05-05,14:10:00,SALISBURY,Dakota Power,7f,1,10.0,12.67,0.078530475
2024-05-05,14:10:00,SALISBURY,Rainbow Sign,7f,7,12.0,14.5,0.13660128
2024-05-05,14:10:00,SALISBURY,Voltaic,7f,4,15.0,20.87,0.037672404
2024-05-05,14:10:00,SALISBURY,Cobh Harbour,7f,11,21.0,32.0,0.007886819
2024-05-05,14:40:00,SALISBURY,Convo,5f,3,3.5,3.8,0.46582505
2024-05-05,14:40:00,SALISBURY,Betty Clover,5f,2,3.5,3.65,0.56786764
2024-05-05,14:40:00,SALISBURY,Running Queen,5f,1,4.33,4.49,0.40747705
2024-05-05,14:40:00,SALISBURY,Royal Equerry,5f,4,5.5,6.41,0.20577747
2024-05-05,14:40:00,SALISBURY,Emporess,5f,5,13.0,18.51,0.14897577
2024-05-05,14:40:00,SALISBURY,Spring,5f,6,19.0,24.7,0.033503667
2024-05-05,14:40:00,SALISBURY,Piranha Rama,5f,7,51.0,120.0,0.0016788201
2024-05-05,15:20:00,SALISBURY,Safari Dream,5f,3,3.75,4.48,0.38901863
2024-05-05,15:20:00,SALISBURY,Connies Rose,5f,2,4.0,4.24,0.12751417
2024-05-05,15:20:00,SALISBURY,Lihou,5f,4,4.33,4.52,0.47551805
2024-05-05,15:20:00,SALISBURY,Sub Thirteen,5f,1,5.0,5.66,0.1324614
2024-05-05,15:20:00,SALISBURY,Umming N Ahing,5f,5,7.0,7.85,0.31435618
2024-05-05,15:55:00,SALISBURY,Fast Society,7f,1,2.75,3.05,0.69327545
2024-05-05,15:55:00,SALISBURY,Jazz Scene,7f,6,4.33,4.3,0.37752986
2024-05-05,15:55:00,SALISBURY,Sanat,7f,5,5.5,5.72,0.28857803
2024-05-05,15:55:00,SALISBURY,Kings Scholar,7f,2,7.0,7.99,0.22153291
2024-05-05,15:55:00,SALISBURY,Synthesize,7f,3,11.0,14.51,0.18942375
2024-05-05,15:55:00,SALISBURY,Questionable,7f,4,13.0,20.0,0.11589121
2024-05-05,15:55:00,SALISBURY,Phoenix Moon,7f,7,23.0,46.76,0.002568293
2024-05-05,16:30:00,SALISBURY,Kotari,1m2f,1,2.38,2.52,0.22511505
2024-05-05,16:30:00,SALISBURY,Hakuna Babe,1m2f,2,2.63,2.92,0.32528934
2024-05-05,16:30:00,SALISBURY,Galileos Compass,1m2f,5,8.5,9.55,0.21696599
2024-05-05,16:30:00,SALISBURY,New Dayrell,1m2f,4,9.0,9.0,0.19553074
2024-05-05,16:30:00,SALISBURY,Mildyjama,1m2f,3,13.0,14.5,0.122686185
2024-05-05,17:05:00,SALISBURY,Sam Hawkens,1m4f,1,1.44,1.5,0.95620483
2024-05-05,17:05:00,SALISBURY,Marhaba Million,1m4f,2,3.0,3.44,0.66451824
2024-05-05,17:05:00,SALISBURY,Wahoo King,1m4f,3,34.0,43.79,0.008516379
2024-05-05,17:05:00,SALISBURY,Snow Eagle,1m4f,4,67.0,170.0,0.0010116618
2024-05-05,17:35:00,SALISBURY,Basilette,1m6f,3,3.0,3.31,0.06974773
2024-05-05,17:35:00,SALISBURY,Corsican Caper,1m6f,4,3.75,4.11,0.25603828
2024-05-05,17:35:00,SALISBURY,Young Merlin,1m6f,2,5.5,5.7,0.33053946
2024-05-05,17:35:00,SALISBURY,Warranty,1m6f,1,8.0,9.58,0.10914318
